,syllable,frequency,pval_uniform
0,ɑː,1070,0.0
1,ɑː_ɲ,25,0.7098201258905722
2,ɑː_ɲ_t,5,0.48963584909265034
3,ɑː_ɜ˞,4688,0.0
5,ɑː_f,1344,0.0
6,ɑː_f_t,1,0.0
7,ɑː_k,20,0.8208130603464577
8,ɑː_k_s,1,0.0
12,ɑː_m,135,0.0
13,ɑː_m_d,41,0.46375526216358076
14,ɑː_m_z,149,0.0
15,ɑː_n,319,0.0
16,ɑː_n_s,1,0.0
18,ɑː_n_t,106,0.0
19,ɑː_n_t_s,4,0.3786429146367648
21,ɑː_s,5,0.48963584909265034
22,ɑː_s_k,224,0.0
23,ɑː_s_k_s,44,0.4286296626871451
24,ɑː_s_k_t,466,0.0
26,ɑː_t,168,0.0
27,ɑː_t_s,46,0.40651909063424363
30,ɑː_z,1,0.0
31,ɔː,1732,0.0
32,ɔː_ɜ˞,4273,0.0
35,ɔː_d,6,0.5803236797915148
36,ɔː_ɡ,4,0.3786429146367648
37,ɔː_k,8,0.7234184599172108
39,ɔː_l,6569,0.0
43,ɔː_t,99,0.025268132377645358
44,ɔː_z,3,0.23554813451106882
45,eɪ,72971,0.0
46,eɪ_ɲ,2522,0.0
47,eɪ_dʒ,251,0.0
48,eɪ_dʒ_d,48,0.3853496843671471
49,eɪ_d,65,0.23454302930783477
50,eɪ_d_z,11,0.881819246751963
51,eɪ_k,18,0.8732200097732894
52,eɪ_k_s,7,0.6569991481240273
53,eɪ_k_t,5,0.48963584909265034
54,eɪ_l,15,0.9639078404721537
57,eɪ_m,49,0.37509352782781835
58,eɪ_m_d,20,0.8208130603464577
59,eɪ_m_z,23,0.7512946359146896
60,eɪ_n,109,0.0
61,eɪ_n_t,27,0.6715392446185393
62,eɪ_p,4,0.3786429146367648
63,eɪ_p_s,7,0.6569991481240273
65,eɪ_s,4,0.3786429146367648
66,eɪ_t,229,0.0
67,eɪ_t_θ,9,0.7820044449462648
69,eɪ_t_s,22,0.7734052079675909
70,eɪ_z,3,0.23554813451106882
72,aɪ,23822,0.0
73,aɪ_d,262,0.0
75,aɪ_l,272,0.0
76,aɪ_l_z,10,0.8344113943730964
77,aɪ_m,672,0.0
78,aɪ_s,64,0.24225490424145135
79,aɪ_s_t,5,0.48963584909265034
82,aɪ_v,313,0.0
83,aɪ_z,398,0.0
84,aɪ_z_d,5,0.48963584909265034
85,ɜː,1003,0.0
87,ɜː_θ,179,0.0
88,ɜː_θ_s,1,0.0
90,ɜː_dʒ,21,0.7965445414407768
91,ɜː_dʒ_d,20,0.8208130603464577
95,ɜː_k,1,0.0
98,ɜː_l,15,0.9639078404721537
99,ɜː_l_z,1,0.0
100,ɜː_n,23,0.7512946359146896
101,ɜː_n_d,23,0.7512946359146896
102,ɜː_n_z,4,0.3786429146367648
106,ɔɪ,12,0.9250992250719607
111,ɔɪ_l,125,0.0
112,ɔɪ_l_d,5,0.48963584909265034
113,ɔɪ_l_z,5,0.48963584909265034
114,ɔɪ_n_t,4,0.3786429146367648
115,əʊ,5824,0.0
116,əʊ_ð_z,1,0.0
117,əʊ_θ,5,0.48963584909265034
118,əʊ_d,11,0.881819246751963
120,əʊ_f,1,0.0
122,əʊ_k,14,0.9982253065955268
123,əʊ_k_s,3,0.23554813451106882
124,əʊ_l,117,0.0
125,əʊ_l_d,762,0.0
128,əʊ_m_z,1,0.0
129,əʊ_n,2667,0.0
130,əʊ_n_d,35,0.5424568268591953
131,əʊ_n_z,11,0.881819246751963
132,əʊ_p,33,0.5717244428128412
133,əʊ_s,3,0.23554813451106882
136,əʊ_t,2,0.033867369356318955
137,əʊ_t_s,5,0.48963584909265034
139,əʊ_z,23,0.7512946359146896
140,aʊ,1815,0.0
143,aʊ_l,3,0.23554813451106882
144,aʊ_l_z,4,0.3786429146367648
145,aʊ_n,9,0.7820044449462648
146,aʊ_n_s,14,0.9982253065955268
149,aʊ_t,3211,0.0
150,aʊ_t_s,8,0.7234184599172108
152,ɪə,39,0.4886307438894163
153,ɪə_ɜ˞,44,0.4286296626871451
154,ɪə_d,1,0.0
155,ɪə_z,46,0.40651909063424363
156,ɛə,553,0.0
157,ɛə_ɜ˞,264,0.0
158,ɛə_ʒ,1,0.0
161,ɛə_z,5,0.48963584909265034
162,ʊə,1,0.0
163,ə,19566,0.0
165,ə_ɜ˞,3164,0.0
168,ə_b,463,0.0
169,ə_d,1152,0.0
170,ə_d_z,15,0.9639078404721537
171,ə_ɡ,22,0.7734052079675909
172,ə_k,338,0.0
174,ə_l,391,0.0
175,ə_l_d,8,0.7234184599172108
176,ə_l_z,37,0.5148160511763513
177,ə_m,28,0.6534497613150807
178,ə_m_f,26,0.6903115090441662
179,ə_m_f_s,3,0.23554813451106882
182,ə_n,955,0.0
185,ə_n_s,162,0.0
187,ə_n_t,75,0.16336381545537637
188,ə_n_t_s,23,0.7512946359146896
189,ə_n_z,32,0.5870304495218972
190,ə_s,35,0.5424568268591953
191,ə_s_t,6,0.5803236797915148
192,ə_t,257,0.0
193,ə_t_s,21,0.7965445414407768
194,ə_v,19,0.846326651164806
195,ə_z,691,0.0
196,ð_ɔː_l,1,0.0
197,ð_eɪ,5162,0.0
198,ð_eɪ_d,56,0.3086742160346345
199,ð_eɪ_v,63,0.250088231005581
200,ð_aɪ,12,0.9250992250719607
