,syllable,position,frequency_pos,frequency,pval_uniform
0,ɑː,1,1003,1070,0.0
1,ɑː,2,59,1070,0.0
2,ɑː,3,8,1070,0.0
3,ɑː,4,0,1070,0.0
4,ɑː,5,0,1070,0.0
5,ɑː,7,0,1070,0.0
6,ɑː_ɲ,1,25,25,0.7098201258905722
7,ɑː_ɲ,3,0,25,0.7098201258905722
8,ɑː_ɲ,5,0,25,0.7098201258905722
9,ɑː_ɲ_t,1,5,5,0.4896358490926503
10,ɑː_ɜ˞,1,4672,4688,0.0
11,ɑː_ɜ˞,3,3,4688,0.0
12,ɑː_ɜ˞,4,13,4688,0.0
13,ɑː_f,1,1344,1344,0.0
14,ɑː_f,2,0,1344,0.0
15,ɑː_f,3,0,1344,0.0
16,ɑː_f,4,0,1344,0.0
17,ɑː_f,5,0,1344,0.0
18,ɑː_f_t,1,1,1,0.0
19,ɑː_k,1,18,20,0.8208130603464577
20,ɑː_k,3,2,20,0.8208130603464577
21,ɑː_k_s,1,1,1,0.0
22,ɑː_k_s,3,0,1,0.0
23,ɑː_m,1,130,135,0.0
24,ɑː_m,2,5,135,0.0
25,ɑː_m_d,1,38,41,0.4637552621635807
26,ɑː_m_d,2,3,41,0.4637552621635807
27,ɑː_m_z,1,149,149,0.0
28,ɑː_m_z,2,0,149,0.0
29,ɑː_m_z,3,0,149,0.0
30,ɑː_m_z,4,0,149,0.0
31,ɑː_m_z,5,0,149,0.0
32,ɑː_n,1,313,319,0.0
33,ɑː_n,2,6,319,0.0
34,ɑː_n,3,0,319,0.0
35,ɑː_n_s,2,1,1,0.0
36,ɑː_n_t,1,106,106,0.0
37,ɑː_n_t,2,0,106,0.0
38,ɑː_n_t_s,1,4,4,0.3786429146367648
39,ɑː_n_t_s,2,0,4,0.3786429146367648
40,ɑː_s,1,5,5,0.4896358490926503
41,ɑː_s,4,0,5,0.4896358490926503
42,ɑː_s_k,1,224,224,0.0
43,ɑː_s_k_s,1,44,44,0.4286296626871451
44,ɑː_s_k_t,1,465,466,0.0
45,ɑː_s_k_t,2,1,466,0.0
46,ɑː_t,1,168,168,0.0
47,ɑː_t,2,0,168,0.0
48,ɑː_t,4,0,168,0.0
49,ɑː_t_s,1,46,46,0.4065190906342436
50,ɑː_t_s,2,0,46,0.4065190906342436
51,ɑː_t_s,4,0,46,0.4065190906342436
52,ɑː_z,1,1,1,0.0
53,ɑː_z,2,0,1,0.0
54,ɔː,1,1662,1732,0.0
55,ɔː,2,68,1732,0.0
56,ɔː,3,2,1732,0.0
57,ɔː,4,0,1732,0.0
58,ɔː,5,0,1732,0.0
59,ɔː,6,0,1732,0.0
60,ɔː_ɜ˞,1,4271,4273,0.0
61,ɔː_ɜ˞,2,0,4273,0.0
62,ɔː_ɜ˞,3,1,4273,0.0
63,ɔː_ɜ˞,4,1,4273,0.0
64,ɔː_d,1,6,6,0.5803236797915148
65,ɔː_ɡ,1,4,4,0.3786429146367648
66,ɔː_ɡ,3,0,4,0.3786429146367648
67,ɔː_k,1,8,8,0.7234184599172108
68,ɔː_k,2,0,8,0.7234184599172108
69,ɔː_l,1,6568,6569,0.0
70,ɔː_l,2,1,6569,0.0
71,ɔː_l,3,0,6569,0.0
72,ɔː_l,5,0,6569,0.0
73,ɔː_t,1,99,99,0.0252681323776453
74,ɔː_z,1,3,3,0.2355481345110688
75,ɔː_z,3,0,3,0.2355481345110688
76,eɪ,1,71986,72971,0.0
77,eɪ,2,311,72971,0.0
78,eɪ,3,365,72971,0.0
79,eɪ,4,293,72971,0.0
80,eɪ,5,16,72971,0.0
81,eɪ,6,0,72971,0.0
82,eɪ,8,0,72971,0.0
83,eɪ_ɲ,1,123,2522,0.0
84,eɪ_ɲ,2,9,2522,0.0
85,eɪ_ɲ,4,2390,2522,0.0
86,eɪ_dʒ,1,251,251,0.0
87,eɪ_dʒ,2,0,251,0.0
88,eɪ_dʒ,3,0,251,0.0
89,eɪ_dʒ_d,1,33,48,0.3853496843671471
90,eɪ_dʒ_d,2,0,48,0.3853496843671471
91,eɪ_dʒ_d,3,15,48,0.3853496843671471
92,eɪ_d,1,64,65,0.2345430293078347
93,eɪ_d,2,0,65,0.2345430293078347
94,eɪ_d,3,1,65,0.2345430293078347
95,eɪ_d_z,1,11,11,0.881819246751963
96,eɪ_d_z,2,0,11,0.881819246751963
97,eɪ_d_z,3,0,11,0.881819246751963
98,eɪ_k,1,7,18,0.8732200097732894
99,eɪ_k,2,10,18,0.8732200097732894
100,eɪ_k,3,1,18,0.8732200097732894
101,eɪ_k_s,1,2,7,0.6569991481240273
102,eɪ_k_s,2,5,7,0.6569991481240273
103,eɪ_k_s,3,0,7,0.6569991481240273
104,eɪ_k_t,1,5,5,0.4896358490926503
105,eɪ_k_t,3,0,5,0.4896358490926503
106,eɪ_l,1,15,15,0.9639078404721536
107,eɪ_l,2,0,15,0.9639078404721536
108,eɪ_m,1,49,49,0.3750935278278183
109,eɪ_m_d,1,20,20,0.8208130603464577
110,eɪ_m_z,1,23,23,0.7512946359146896
111,eɪ_n,1,107,109,0.0
112,eɪ_n,2,2,109,0.0
113,eɪ_n,3,0,109,0.0
114,eɪ_n,5,0,109,0.0
115,eɪ_n_t,1,27,27,0.6715392446185393
116,eɪ_p,1,4,4,0.3786429146367648
117,eɪ_p,4,0,4,0.3786429146367648
118,eɪ_p_s,1,7,7,0.6569991481240273
119,eɪ_p_s,4,0,7,0.6569991481240273
120,eɪ_s,1,4,4,0.3786429146367648
121,eɪ_t,1,103,229,0.0
122,eɪ_t,2,60,229,0.0
123,eɪ_t,3,9,229,0.0
124,eɪ_t,4,53,229,0.0
125,eɪ_t,5,4,229,0.0
126,eɪ_t_θ,1,9,9,0.7820044449462648
127,eɪ_t_s,1,1,22,0.7734052079675909
128,eɪ_t_s,2,13,22,0.7734052079675909
129,eɪ_t_s,3,3,22,0.7734052079675909
130,eɪ_t_s,4,5,22,0.7734052079675909
131,eɪ_t_s,5,0,22,0.7734052079675909
132,eɪ_z,1,2,3,0.2355481345110688
133,eɪ_z,2,0,3,0.2355481345110688
134,eɪ_z,3,1,3,0.2355481345110688
135,eɪ_z,4,0,3,0.2355481345110688
136,aɪ,1,23777,23822,0.0
137,aɪ,2,31,23822,0.0
138,aɪ,3,11,23822,0.0
139,aɪ,4,2,23822,0.0
140,aɪ,5,1,23822,0.0
141,aɪ,6,0,23822,0.0
142,aɪ_d,1,256,262,0.0
143,aɪ_d,2,5,262,0.0
144,aɪ_d,3,1,262,0.0
145,aɪ_l,1,272,272,0.0
146,aɪ_l_z,1,10,10,0.8344113943730964
147,aɪ_m,1,672,672,0.0
148,aɪ_s,1,64,64,0.2422549042414513
149,aɪ_s,2,0,64,0.2422549042414513
150,aɪ_s_t,1,5,5,0.4896358490926503
151,aɪ_s_t,2,0,5,0.4896358490926503
152,aɪ_v,1,313,313,0.0
153,aɪ_z,1,398,398,0.0
154,aɪ_z,2,0,398,0.0
155,aɪ_z,3,0,398,0.0
156,aɪ_z,4,0,398,0.0
157,aɪ_z,5,0,398,0.0
158,aɪ_z,6,0,398,0.0
159,aɪ_z_d,4,0,5,0.4896358490926503
160,aɪ_z_d,5,0,5,0.4896358490926503
161,aɪ_z_d,6,5,5,0.4896358490926503
162,ɜː,1,997,1003,0.0
163,ɜː,2,6,1003,0.0
164,ɜː_θ,1,176,179,0.0
165,ɜː_θ,2,1,179,0.0
166,ɜː_θ,3,2,179,0.0
167,ɜː_θ_s,1,1,1,0.0
168,ɜː_θ_s,2,0,1,0.0
169,ɜː_dʒ,1,21,21,0.7965445414407768
170,ɜː_dʒ_d,1,20,20,0.8208130603464577
171,ɜː_k,1,1,1,0.0
172,ɜː_l,1,15,15,0.9639078404721536
173,ɜː_l_z,1,1,1,0.0
174,ɜː_n,1,23,23,0.7512946359146896
175,ɜː_n,2,0,23,0.7512946359146896
176,ɜː_n,4,0,23,0.7512946359146896
177,ɜː_n_d,1,20,23,0.7512946359146896
178,ɜː_n_d,2,3,23,0.7512946359146896
179,ɜː_n_z,1,4,4,0.3786429146367648
180,ɜː_n_z,2,0,4,0.3786429146367648
181,ɔɪ,1,12,12,0.9250992250719609
182,ɔɪ,2,0,12,0.9250992250719609
183,ɔɪ_l,1,125,125,0.0
184,ɔɪ_l,2,0,125,0.0
185,ɔɪ_l,3,0,125,0.0
186,ɔɪ_l,4,0,125,0.0
187,ɔɪ_l_d,1,5,5,0.4896358490926503
188,ɔɪ_l_d,2,0,5,0.4896358490926503
189,ɔɪ_l_z,1,5,5,0.4896358490926503
190,ɔɪ_l_z,3,0,5,0.4896358490926503
191,ɔɪ_l_z,4,0,5,0.4896358490926503
192,ɔɪ_n_t,1,4,4,0.3786429146367648
193,əʊ,1,3117,5824,0.0
194,əʊ,2,125,5824,0.0
195,əʊ,3,177,5824,0.0
196,əʊ,4,12,5824,0.0
197,əʊ,5,2392,5824,0.0
198,əʊ,6,1,5824,0.0
199,əʊ_ð_z,1,1,1,0.0
200,əʊ_θ,1,5,5,0.4896358490926503
201,əʊ_θ,5,0,5,0.4896358490926503
202,əʊ_d,1,11,11,0.881819246751963
203,əʊ_d,2,0,11,0.881819246751963
204,əʊ_d,3,0,11,0.881819246751963
205,əʊ_f,1,1,1,0.0
206,əʊ_k,1,14,14,0.9982253065955268
207,əʊ_k,2,0,14,0.9982253065955268
208,əʊ_k_s,1,3,3,0.2355481345110688
209,əʊ_k_s,2,0,3,0.2355481345110688
210,əʊ_l,1,116,117,0.0
211,əʊ_l,2,1,117,0.0
212,əʊ_l,3,0,117,0.0
213,əʊ_l,5,0,117,0.0
214,əʊ_l_d,1,760,762,0.0
215,əʊ_l_d,2,2,762,0.0
216,əʊ_m_z,1,1,1,0.0
217,əʊ_n,1,2667,2667,0.0
218,əʊ_n,2,0,2667,0.0
219,əʊ_n,5,0,2667,0.0
220,əʊ_n_d,1,35,35,0.5424568268591953
221,əʊ_n_d,2,0,35,0.5424568268591953
222,əʊ_n_z,1,11,11,0.881819246751963
223,əʊ_n_z,2,0,11,0.881819246751963
224,əʊ_p,1,33,33,0.5717244428128412
225,əʊ_p,2,0,33,0.5717244428128412
226,əʊ_s,3,3,3,0.2355481345110688
227,əʊ_t,1,2,2,0.0338673693563189
228,əʊ_t_s,1,5,5,0.4896358490926503
229,əʊ_z,1,5,23,0.7512946359146896
230,əʊ_z,2,0,23,0.7512946359146896
231,əʊ_z,3,16,23,0.7512946359146896
232,əʊ_z,4,2,23,0.7512946359146896
233,əʊ_z,5,0,23,0.7512946359146896
234,aʊ,1,1809,1815,0.0
235,aʊ,2,6,1815,0.0
236,aʊ,3,0,1815,0.0
237,aʊ,4,0,1815,0.0
238,aʊ_l,1,3,3,0.2355481345110688
239,aʊ_l,2,0,3,0.2355481345110688
240,aʊ_l_z,1,4,4,0.3786429146367648
241,aʊ_l_z,2,0,4,0.3786429146367648
242,aʊ_n,1,9,9,0.7820044449462648
243,aʊ_n,3,0,9,0.7820044449462648
244,aʊ_n_s,1,14,14,0.9982253065955268
245,aʊ_n_s,3,0,14,0.9982253065955268
246,aʊ_t,1,3073,3211,0.0
247,aʊ_t,2,137,3211,0.0
248,aʊ_t,3,1,3211,0.0
249,aʊ_t,4,0,3211,0.0
250,aʊ_t,5,0,3211,0.0
251,aʊ_t_s,1,1,8,0.7234184599172108
252,aʊ_t_s,2,7,8,0.7234184599172108
253,aʊ_t_s,3,0,8,0.7234184599172108
254,aʊ_t_s,5,0,8,0.7234184599172108
255,ɪə,1,39,39,0.4886307438894163
256,ɪə,2,0,39,0.4886307438894163
257,ɪə,3,0,39,0.4886307438894163
258,ɪə_ɜ˞,1,42,44,0.4286296626871451
259,ɪə_ɜ˞,2,2,44,0.4286296626871451
260,ɪə_ɜ˞,3,0,44,0.4286296626871451
261,ɪə_d,1,0,1,0.0
262,ɪə_d,2,1,1,0.0
263,ɪə_z,1,46,46,0.4065190906342436
264,ɪə_z,2,0,46,0.4065190906342436
265,ɛə,1,549,553,0.0
266,ɛə,2,0,553,0.0
267,ɛə,3,4,553,0.0
268,ɛə_ɜ˞,1,259,264,0.0
269,ɛə_ɜ˞,2,0,264,0.0
270,ɛə_ɜ˞,3,4,264,0.0
271,ɛə_ɜ˞,4,1,264,0.0
272,ɛə_ʒ,3,1,1,0.0
273,ɛə_z,1,5,5,0.4896358490926503
274,ɛə_z,3,0,5,0.4896358490926503
275,ɛə_z,4,0,5,0.4896358490926503
276,ʊə,1,1,1,0.0
277,ə,1,16789,19566,0.0
278,ə,2,1261,19566,0.0
279,ə,3,1228,19566,0.0
280,ə,4,211,19566,0.0
281,ə,5,76,19566,0.0
282,ə,6,1,19566,0.0
283,ə,7,0,19566,0.0
284,ə,8,0,19566,0.0
285,ə,9,0,19566,0.0
286,ə_ɜ˞,1,10,3164,0.0
