,bigram,frequency
0,ɪ_ç,32175
1,ə_n,27681
2,n_t,25515
3,t_s,19529
4,j_aː,19326
5,s_t,18775
6,z_oː,17237
7,a_n,15022
8,d_aː,14108
9,a_l,13122
10,ai_n,12069
11,n_d,11908
12,aː_s,11682
13,n_ɪ,11652
14,ɛ_n,10899
15,ʊ_n,10830
16,ɪ_s,10056
17,d_a,10003
18,g_eː,9778
19,d_eː,9557
20,ɛ_ɐ,9392
21,t_ə,8948
22,d_iː,8934
23,ɪ_n,8894
24,t_d,8775
25,a_x,8194
26,v_aː,8070
27,oː_n,8060
28,ç_t,8024
29,ɪ_ɐ,7490
30,l_t,7351
31,t_ɪ,7324
32,au_ç,6860
33,h_aː,6846
34,aː_b,6751
35,g_ɛ,6657
36,h_a,6619
37,ɐ_t,6436
38,l_ɪ,6404
39,m_aː,6308
40,m_ɪ,6181
41,aː_t,5986
42,eː_ɐ,5935
43,t_v,5786
44,n_ə,5784
45,v_ai,5735
46,s_ɪ,5651
47,b_ɐ,5624
48,aː_n,5609
49,aː_ɐ,5580
50,ɐ_g,5367
51,eː_n,5337
52,a_s,5199
53,n_eː,5138
54,eː_s,5065
55,l_z,5049
56,ɔ_x,4912
57,ɛ_t,4791
58,ɐ_d,4772
59,oː_d,4759
60,v_iː,4737
61,aː_l,4649
62,m_a,4631
63,ɪ_m,4613
64,ɐ_n,4551
65,n_f,4445
66,ɪ_t,4262
67,d_ɐ,4214
68,n_v,4143
69,d_ə,4136
70,g_ə,4133
71,s_v,4081
72,l_ə,3941
73,ɛ_l,3893
74,v_ɪ,3846
75,v_ɛ,3794
76,s_d,3742
77,n_z,3737
78,ai_s,3733
79,k_t,3715
80,t_ɛ,3610
81,eː_m,3516
82,b_ə,3516
83,s_uː,3500
84,au_f,3438
85,n_m,3425
86,ɛ_s,3411
87,aː_m,3397
88,n_s,3370
89,r_ə,3361
90,r_ɪ,3277
91,z_ɪ,3230
92,uː_n,3212
93,f_a,3212
94,n_ɔ,3194
95,p:_f,3190
96,f_ɛ,3166
97,t_z,3153
98,d_r,3131
99,eː_r,3119
100,ɐ_z,3090
101,ʃ_oː,3086
102,ʃ_t,3080
103,eː_t,3078
104,s_ə,3073
105,n_a,3073
106,ʊ_ŋ,3006
107,oː_k,2989
108,b_ɪ,2974
109,aː_d,2933
110,m_ai,2913
111,f_oː,2908
112,iː_l,2901
113,ɛ_ç,2871
114,z_iː,2849
115,d_ɛ,2821
116,n_ʊ,2809
117,aː_p,2807
118,x_t,2806
119,t_n,2784
120,t_r,2771
121,b_ai,2740
122,t_m,2725
123,n_aː,2719
124,g_l,2712
125,p:_z,2708
126,ç_d,2695
127,j_ɛ,2685
