,trigram,frequency
0,ʊ_n_t,9109
1,n_ɪ_ç,8478
2,d_aː_s,7432
3,d_a_n,6523
4,ɛ_n_t,5868
5,l_ɪ_ç,4882
6,l_z_oː,4767
7,ɪ_ç_t,4704
8,aː_b_ɐ,4695
9,a_l_z,4564
10,a_l_t,4362
11,g_ɛ_n,3978
12,n_t_s,3824
13,v_aː_s,3781
14,h_a_l,3773
15,ai_n_ə,3646
16,a_n_t,3626
17,n_t_v,3569
18,t_ə_n,3508
19,ɛ_t_s,3378
20,m_aː_l,3359
21,t_s_uː,3348
22,ɪ_s_t,3302
23,ɐ_g_ɛ,3252
24,ɪ_ɐ_g,3187
25,d_eː_ɐ,2991
26,v_aː_ɐ,2963
27,t_s_t,2925
28,ʃ_oː_n,2913
29,n_t_d,2881
30,oː_d_ɐ,2871
31,m_ɪ_t,2754
32,m_a_x,2735
33,d_eː_s,2725
34,n_ɔ_x,2684
35,t_ɪ_ç,2661
36,b_ɪ_s,2645
37,m_ai_n,2566
38,ɪ_n_t,2532
39,h_aː_t,2517
40,d_a_s,2498
41,g_ə_n,2477
42,b_ə_n,2462
43,a_x_t,2440
44,t_d_a,2404
45,v_ai_s,2392
46,s_ɪ_s,2251
47,v_ɪ_ɐ,2233
48,ɪ_ç_v,2188
49,v_ɛ_n,2144
50,ə_n_d,2144
51,h_aː_p,2142
52,ɪ_ç_m,2127
53,ɪ_ç_d,2109
54,f_ɛ_ɐ,2098
55,ɪ_ç_g,2084
56,t_v_iː,2064
57,s_t_ə,2059
58,s_ɪ_ç,2053
59,ɛ_s_t,2031
60,r_ə_n,2020
61,n_d_eː,2012
62,k_a_n,1994
63,ɪ_ç_h,1991
64,n_f_a,1988
65,ə_n_v,1982
66,f_iː_l,1960
67,t_d_aː,1954
68,d_ə_n,1948
69,v_ai_l,1933
70,s_ə_n,1928
71,ɛ_ç_t,1917
72,ɛ_ɐ_n,1885
73,x_ə_n,1855
74,ɐ_z_oː,1843
75,a_n_d,1842
76,n_ə_n,1830
77,g_eː_n,1826
78,m_aː_n,1813
79,ɐ_t_s,1808
80,g_l_au,1783
81,ɪ_m_m,1777
82,n_d_aː,1771
83,ɛ_ɐ_t,1745
84,s_t_d,1734
85,k_ɔ_m,1719
86,k_ai_n,1706
87,z_oː_n,1700
88,g_uː_t,1696
89,d_eː_n,1695
90,f_oː_n,1686
91,t_z_oː,1675
92,d_iː_z,1674
93,n_d_a,1666
94,m_ʊ_s,1643
95,n_ʊ_n,1639
96,ɪ_n_d,1633
97,a_x_ə,1611
98,j_aː_d,1590
99,n_s_t,1584
100,ɐ_s_t,1571
101,a_l_ə,1570
102,p_ɪ_ç,1549
103,b_ɪ_s,1548
104,ɛ_n_d,1535
105,ai_n_f,1521
106,a_k_t,1516
107,n_d_ə,1512
108,g_a_n,1498
109,l_au_p,1496
110,t_s_v,1476
111,t_l_ɪ,1476
112,ɛ_ɐ_s,1475
113,z_ɪ_n,1466
114,t_d_eː,1466
115,t_ʊ_n,1461
116,z_oː_v,1443
117,a_s_t,1437
118,ç_ə_n,1434
119,f_a_x,1431
120,eː_n_au,1427
121,aː_s_ɪ,1421
122,m_ə_n,1374
123,t_ɪ_m,1361
124,t_s_ɪ,1340
125,ɪ_ç_n,1338
126,n_a_x,1326
127,t_ɛ_ɐ,1323
128,ɛ_l_t,1312
129,l_ə_n,1309
130,z_oː_d,1307
131,_p:__z_oː,1304
132,s_t_ɛ,1292
133,r_ɪ_ç,1283
134,m_ɪ_ɐ,1278
135,z_ɪ_ç,1274
136,aː_g_ə,1257
137,n_z_oː,1244
138,n_ai_n,1242
139,eː_h_ə,1238
140,s_v_aː,1218
141,g_eː_z,1209
142,ç_n_ɪ,1205
143,ç_z_oː,1184
144,s_t_ɪ,1182
145,n_d_ɛ,1172
146,l_ai_ç,1167
147,ɪ_ç_z,1159
148,au_ç_n,1158
149,n_d_iː,1144
150,t_j_aː,1142
151,g_eː_m,1134
152,ə_n_ʊ,1131
153,s_g_eː,1129
154,f_yː_ɐ,1111
155,aː_s_v,1110
156,ɐ_d_aː,1109
157,iː_z_ə,1108
158,v_iː_d,1105
159,ə_n_ɪ,1104
160,a_l_s,1099
161,ə_n_z,1098
162,ɐ_n_ɪ,1098
163,eː_m_a,1094
164,n_m_aː,1091
165,n_t_ɪ,1090
166,n_uː_ɐ,1086
167,ʊ_s_t,1076
168,s_v_ai,1076
169,ai_s_t,1076
170,aː_r_ə,1075
171,s_n_ɪ,1074
172,t_h_aː,1073
173,j_aː_ɪ,1057
174,aː_j_a,1048
175,n_h_aː,1046
176,t_s_ə,1041
177,ç_t_ɪ,1039
178,d_ɔ_x,1025
179,ə_n_h,1023
180,aː_b_ə,1022
181,t_s_ɛ,1018
182,t_d_iː,1015
183,n_t_l,1010
184,h_ə_n,1009
185,ə_n_t,1008
186,g_aː_ɐ,995
187,z_a_k,990
188,h_a_t,988
189,z_oː_ɪ,986
190,t_v_aː,983
191,ç_v_ai,978
192,m_ɪ_ç,971
193,n_t_z,969
194,t_au_ç,964
195,s_d_aː,960
196,k_ə_n,954
197,n_g_eː,953
198,ə_n_m,945
199,ç_h_aː,943
200,n_t_ə,941
201,d_ɛ_ɐ,941
202,d_ɐ_z,941
203,ɪ_m_t,939
204,ə_n_k,936
205,ç_t_s,928
206,n_ʊ_ŋ,923
207,t_h_a,922
208,ç_g_l,917
209,ɪ_ç_au,912
210,uː_n_d,910
211,h_aː_b,909
212,d_eː_m,909
213,ai_ç_t,903
214,eː_r_ə,899
215,aː_ɐ_n,889
216,t_g_eː,887
217,f_ə_n,882
218,s_h_a,880
219,ɪ_ç_ɪ,880
220,a_ɐ_t,879
221,iː_ɐ_t,875
222,t_n_ɪ,872
223,ai_g_ɛ,871
224,m_a_n,870
225,f_ɪ_n,867
226,g_ɛ_ʃ,865
227,s_ç_ə,863
228,t_a_l,861
229,n_h_a,861
230,m_eː_ɐ,861
231,b_ɐ_d,861
232,aː_ɪ_ç,861
233,ɐ_ɪ_ç,856
234,z_oː_g,852
235,g_eː_t,852
236,s_au_ç,849
237,ɪ_s_ç,848
238,s_t_t,846
239,oː_k__p:_,844
240,ɪ_ç_f,843
241,g_eː_h,843
242,b_ɪ_n,843
243,z_ə_n,841
244,k_oː_l,838
245,ə_n_f,837
246,s_j_aː,833
247,n_a_l,829
248,aː_d_aː,828
249,z_ai_n,827
250,j_aː_g,826
251,a_t_ə,821
252,g_ɛ_s,820
253,eː_s_ɪ,819
254,h_aː_m,818
255,t_s_ai,817
256,h_a_s,817
257,f_a_l,810
258,ɔ_m_ə,806
259,n_t_ɛ,805
260,j_aː__p:_,804
261,eː_z_a,804
262,ai_n_t,804
263,ɪ_ç_k,803
264,s_uː_m,798
265,ŋ_ə_n,796
266,a_n_ɪ,795
267,ç_d_aː,793
268,n_j_aː,785
269,k_l_ɪ,785
270,ç_g_eː,781
271,ɐ_g_eː,776
272,aː_s_d,775
273,j_aː_j,774
274,t_t_s,772
275,s_t_s,770
276,d_ɪ_s,768
277,l_t_ə,765
278,ə_n_g,764
279,n_ɪ_s,762
