,syllable,count,P,F
0,jaː,19303,0.0190997028,0.0190997028
1,ɪç,18267,0.0180746138,0.0371743166
2,das,16420,0.0162470662,0.0534213828
3,n,16191,0.016020478,0.0694418608
4,dan,11181,0.0110632428,0.0805051037
5,ɡə,11087,0.0109702328,0.0914753365
6,tn,10200,0.0100925746,0.1015679112
7,ə,10156,0.010049038,0.1116169492
8,daː,9647,0.0095453988,0.121162348
9,diː,8465,0.0083758475,0.1295381954
10,tə,8207,0.0081205647,0.1376587602
11,s,8147,0.0080611966,0.1457199568
12,dɐ,8028,0.0079434499,0.1536634067
13,viːɐ,7965,0.0078811134,0.1615445201
14,viː,7953,0.0078692398,0.1694137599
15,ziː,7861,0.0077782087,0.1771919687
16,ən,7678,0.0075971361,0.1847891048
17,bɐ,7175,0.0070994336,0.1918885384
18,taːk,6813,0.0067412462,0.1986297846
19,nə,6526,0.0064572688,0.2050870534
20,ʊn,6505,0.00643649,0.2115235434
21,zo,6418,0.0063504063,0.2178739497
22,miːɐ,6213,0.0061475653,0.224021515
23,ɐ,6151,0.0060862183,0.2301077333
24,deːɐ,5920,0.0058576512,0.2359653844
25,mɪt,5827,0.0057656306,0.2417310151
26,bə,5778,0.0057171467,0.2474481618
27,bɪs,5551,0.0054925374,0.2529406992
28,tseːn,5462,0.0054044748,0.258345174
29,baɪ,5378,0.0053213595,0.2636665334
30,də,5374,0.0053174016,0.268983935
31,tən,5255,0.0051996549,0.2741835899
32,van,5207,0.0051521604,0.2793357503
33,deːn,5151,0.0050967502,0.2844325005
34,ɪn,5090,0.0050363926,0.2894688931
35,ɡuːt,5056,0.0050027507,0.2944716438
36,ɒɪç,4972,0.0049196354,0.2993912792
37,tɐ,4825,0.0047741836,0.3041654628
38,zoː,4645,0.0045960793,0.3087615421
39,ɪs,4617,0.0045683742,0.3133299164
40,oː,4606,0.0045574901,0.3178874064
41,aɪn,4581,0.0045327534,0.3224201598
42,uːɐ,4568,0.0045198903,0.3269400501
43,nɔx,4551,0.0045030693,0.3314431194
44,am,4302,0.0042566918,0.3356998112
45,vɐ,4245,0.0042002921,0.3399001033
46,foːɐ,4199,0.0041547766,0.3440548799
47,vɔx,4184,0.0041399345,0.3481948144
48,aʊx,4018,0.0039756828,0.3521704972
49,vas,3903,0.003861894,0.3560323912
50,an,3892,0.0038510099,0.3598834011
51,aː,3838,0.0037975786,0.3636809797
52,nən,3785,0.0037451368,0.3674261164
53,al,3758,0.0037184211,0.3711445375
54,ʊns,3647,0.0036085902,0.3747531277
55,maːl,3558,0.0035205275,0.3782736552
56,m,3553,0.0035155802,0.3817892354
57,aɪ,3513,0.0034760014,0.3852652368
58,tɛɐ,3494,0.0034572015,0.3887224384
59,fɛɐ,3408,0.0033721073,0.3920945457
60,rə,3348,0.0033127392,0.3954072849
61,haːb,3166,0.003132656,0.3985399409
62,deːm,3155,0.0031217719,0.4016617127
63,draɪ,3142,0.0031089088,0.4047706215
64,nɪçt,3120,0.0030871405,0.407857762
65,vʏɐ,3101,0.0030683406,0.4109261026
66,miːn,3100,0.0030673511,0.4139934537
67,lɪç,3088,0.0030554775,0.4170489312
68,bɪn,3037,0.0030050146,0.4200539458
69,fʏnf,2983,0.0029515833,0.4230055291
70,ɒʊn,2946,0.002914973,0.4259205022
71,vɛːɐ,2941,0.0029100257,0.4288305279
72,ʊm,2924,0.0028932047,0.4317237326
73,naːx,2890,0.0028595628,0.4345832954
